Time_in_ms	MagX	MagY	MagZ	Bearing
161917	-36.45	-151.81	99.80	256.50
162193	-42.52	-161.30	99.80	255.23
162468	-39.48	-142.33	108.87	254.50
162744	-37.96	-150.23	115.68	255.82
163019	-30.37	-145.49	108.87	258.21
163295	-42.52	-142.33	99.80	253.37
163571	-34.93	-137.58	115.68	255.76
163850	-28.85	-153.40	111.14	259.35
164124	-30.37	-158.14	122.48	259.13
164401	-33.41	-151.81	104.34	257.59
164675	-37.96	-162.88	115.68	256.88
164952	-30.37	-158.14	104.34	259.13
165227	-44.04	-162.88	97.53	254.87
165506	-34.93	-143.91	111.14	256.36
165780	-50.11	-150.23	93.00	251.55
166056	-41.00	-150.23	124.75	254.73
166332	-41.00	-153.40	111.14	255.04
166607	-36.45	-151.81	122.48	256.50
166883	-31.89	-172.37	111.14	259.52
167159	-41.00	-150.23	102.07	254.73
167437	-37.96	-156.56	111.14	256.37
167713	-36.45	-151.81	86.19	256.50
167988	-28.85	-162.88	115.68	259.95
168269	-33.41	-158.14	108.87	258.07
168545	-41.00	-156.56	97.53	255.32
168819	-37.96	-156.56	97.53	256.37
169095	-39.48	-154.98	127.02	255.71
169369	-37.96	-131.26	111.14	253.87
169644	-42.52	-158.14	108.87	254.95
169919	-37.96	-153.40	93.00	256.10
170194	-33.41	-151.81	108.87	257.59
170470	-31.89	-150.23	120.22	258.02
170745	-37.96	-147.07	97.53	255.53
171024	-42.52	-158.14	104.34	254.95
171298	-41.00	-143.91	129.29	254.10
171574	-37.96	-153.40	102.07	256.10
171844	-39.48	-154.98	113.41	255.71
172120	-33.41	-145.49	95.27	257.07
172393	-50.11	-150.23	102.07	251.55
172669	-24.30	-139.16	122.48	260.10
172947	-45.56	-154.98	108.87	253.62
173222	-42.52	-151.81	122.48	254.35
173497	-31.89	-147.07	106.61	257.77
173773	-31.89	-156.56	88.46	258.49
174048	-44.04	-143.91	111.14	252.98
174323	-24.30	-154.98	113.41	261.09
174600	-27.34	-148.65	104.34	259.58
174875	-31.89	-159.72	111.14	258.71
175151	-37.96	-156.56	115.68	256.37
175426	-36.45	-145.49	113.41	255.94
175703	-27.34	-161.30	108.87	260.38
175978	-50.11	-147.07	88.46	251.18
176253	-33.41	-158.14	99.80	258.07
176532	-25.82	-147.07	111.14	260.04
176806	-34.93	-156.56	106.61	257.42
177083	-30.37	-145.49	95.27	258.21
177358	-42.52	-158.14	122.48	254.95
177631	-34.93	-166.05	102.07	258.12
177902	-48.59	-142.33	113.41	251.15
178180	-33.41	-154.98	95.27	257.83
178456	-42.52	-151.81	122.48	254.35
178733	-37.96	-156.56	111.14	256.37
179008	-36.45	-154.98	99.80	256.77
179284	-44.04	-156.56	115.68	254.29
179560	-33.41	-154.98	113.41	257.83
179835	-33.41	-145.49	122.48	257.07
180114	-33.41	-142.33	117.95	256.79
180388	-39.48	-158.14	117.95	255.98
180664	-28.85	-153.40	115.68	259.35
180939	-44.04	-159.72	124.75	254.59
181216	-39.48	-151.81	113.41	255.42
181491	-30.37	-164.47	113.41	259.54
181768	-45.56	-145.49	108.87	252.61
182045	-39.48	-158.14	99.80	255.98
182321	-19.74	-166.05	124.75	263.22
182595	-25.82	-147.07	106.61	260.04
182872	-18.22	-154.98	117.95	263.29
183148	-25.82	-156.56	111.14	260.64
183424	-37.96	-159.72	111.14	256.63
183701	-22.78	-150.23	115.68	261.38
183977	-28.85	-156.56	97.53	259.56
184252	-34.93	-153.40	102.07	257.17
184527	-27.34	-167.63	122.48	260.74
184803	-28.85	-175.54	88.46	260.67
